flight_number,airline_name,departure_airport,arrival_airport,departure_time,arrival_time,duration_hours,flight_price
WN9954,Southwest Airlines,Los Angeles International,O'Hare International,2/19/2022,9/13/2022,13,3010.77
AZ3825,Alitalia,Leonardo da Vinci International,Charles de Gaulle,3/1/2022,1/31/2022,20,1492.63
SK5197,SAS Scandinavian,Copenhagen Airport,Vienna International,3/10/2022,9/8/2022,24,4673.37
AA5793,American Airlines,John F. Kennedy International,Hartsfield-Jackson Atlanta,9/25/2022,3/1/2022,22,3734.85
KE2503,Korean Air,Incheon International,Haneda,10/7/2022,7/12/2022,16,2664.82
SQ5037,Singapore Airlines,Changi,Beijing Capital International,1/2/2022,8/27/2022,23,3592.33
IB9593,Iberia,Adolfo Suárez Madrid–Barajas,Jomo Kenyatta International,3/29/2022,8/11/2022,12,4644.54
UA4433,United Airlines,Los Angeles International,San Francisco International,2/13/2022,9/18/2022,20,710.04
WN5291,Southwest Airlines,Los Angeles International,San Francisco International,7/9/2022,3/25/2022,1,3736.9
QF4285,Qantas,Sydney Airport,Melbourne Airport,11/9/2022,4/11/2022,16,3867.85
CX7350,Cathay Pacific,Hong Kong International,Chhatrapati Shivaji International,1/28/2022,11/16/2022,11,4269.67
SQ6358,Singapore Airlines,Changi,Beijing Capital International,8/19/2022,2/27/2022,18,1092.88
AZ1471,Alitalia,Leonardo da Vinci International,Charles de Gaulle,3/8/2022,2/1/2022,3,2848.82
UA5234,United Airlines,Los Angeles International,San Francisco International,7/16/2022,10/27/2022,21,3620.91
KE5966,Korean Air,Incheon International,Haneda,8/31/2022,10/1/2022,8,4206.4
UA1658,United Airlines,Los Angeles International,Seattle-Tacoma International,4/8/2022,2/4/2022,11,3048.83
ET2935,Ethiopian Airlines,Bole International,Beijing Capital International,10/17/2022,10/30/2022,1,2858.67
SA3542,South African Airways,O.R. Tambo International,Charles de Gaulle,1/13/2022,6/16/2022,21,1175.53
QF4267,Qantas,Sydney Airport,Suvarnabhumi,3/8/2022,12/19/2022,1,3244.39
NZ5451,Air New Zealand,Auckland Airport,Sydney Airport,3/9/2022,9/22/2022,16,3737.0
QR2311,Qatar Airways,Hamad International,Frankfurt Airport,11/23/2022,4/16/2022,23,2127.25
WN8883,Southwest Airlines,Los Angeles International,Chhatrapati Shivaji International,6/19/2022,10/13/2022,18,778.52
NZ3899,Air New Zealand,Auckland Airport,Sydney Airport,6/3/2022,5/7/2022,1,2719.01
CX5046,Cathay Pacific,Hong Kong International,Changi,5/11/2022,10/17/2022,8,1984.7
QR7315,Qatar Airways,Hamad International,Jomo Kenyatta International,11/30/2022,4/26/2022,23,2087.04
LH2509,Lufthansa,Frankfurt Airport,Charles de Gaulle,12/10/2022,11/1/2022,12,3900.85
KE3006,Korean Air,Incheon International,Haneda,6/11/2022,8/23/2022,4,184.52
LH1606,Lufthansa,Frankfurt Airport,Zurich Airport,11/8/2022,5/12/2022,3,4270.98
KL4094,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Charles de Gaulle,8/23/2022,1/8/2022,7,3335.96
ET1266,Ethiopian Airlines,Bole International,Hamad International,8/17/2022,3/17/2022,11,4251.39
DL2500,Delta Air Lines,John F. Kennedy International,Hartsfield-Jackson Atlanta,9/7/2022,6/9/2022,1,1028.86
